('Total Revenue', '318,273,000', '281,724,000', '245,122,000', '211,915,000', '198,270,000')
         1158513 function calls (1124402 primitive calls) in 3.667 seconds

   Ordered by: call count

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      302    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:730(_validate_timestamp_pyc)
      302    0.012    0.000    0.067    0.000 <frozen importlib._bootstrap_external>:782(_compile_bytecode)
      302    0.000    0.000    0.011    0.000 <frozen importlib._bootstrap_external>:1233(path_stats)
      302    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1184(__init__)
      302    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1209(get_filename)
    302/6    0.002    0.000    1.031    0.172 <frozen importlib._bootstrap_external>:1020(exec_module)
      302    0.000    0.000    0.000    0.000 _connection.py:217(our_state)
      302    0.039    0.000    0.039    0.000 {method 'read' of '_io.BufferedReader' objects}
      302    0.012    0.000    0.012    0.000 {method '__exit__' of '_io._IOBase' objects}
      302    0.264    0.001    0.264    0.001 {built-in method _io.open_code}
      302    0.001    0.000    0.001    0.000 {built-in method _imp._fix_co_filename}
      302    0.053    0.000    0.053    0.000 {built-in method marshal.loads}
      298    0.000    0.000    0.001    0.000 _connection.py:342(_respond_to_state_changes)
      298    0.000    0.000    0.000    0.000 _state.py:299(_fire_event_triggered_transitions)
      297    0.002    0.000    0.004    0.000 _connection.py:272(_process_event)
      297    0.001    0.000    0.002    0.000 _state.py:275(process_event)
      297    0.001    0.000    0.001    0.000 _state.py:316(_fire_state_triggered_transitions)
      294    0.003    0.000    1.364    0.005 http11.py:209(_receive_event)
      294    0.000    0.000    0.000    0.000 _connection.py:260(_server_switch_event)
      293    0.001    0.000    0.536    0.002 _models.py:935(iter_raw)
      293    0.001    0.000    0.548    0.002 _models.py:884(iter_bytes)
      293    0.000    0.000    0.535    0.002 _client.py:152(__iter__)
      293    0.001    0.000    0.534    0.002 http11.py:196(_receive_response_body)
      293    0.000    0.000    0.534    0.002 http11.py:330(__iter__)
      293    0.000    0.000    0.535    0.002 default.py:125(__iter__)
      293    0.001    0.000    0.001    0.000 _events.py:299(__init__)
      293    0.000    0.000    0.535    0.002 connection_pool.py:401(__iter__)
      292    0.000    0.000    0.011    0.000 _decoders.py:95(decode)
      292    0.010    0.000    0.010    0.000 {method 'decompress' of 'zlib.Decompress' objects}
      285    0.000    0.000    0.001    0.000 css_parser.py:344(match)
      279    0.001    0.000    0.004    0.000 typing.py:1307(__init__)
      275    0.002    0.000    0.010    0.000 typing.py:1423(__init__)
      275    0.000    0.000    0.001    0.000 typing.py:1122(_is_unpacked_typevartuple)
      260    0.000    0.000    0.000    0.000 _compiler.py:31(_combine_flags)
  229/186    0.001    0.000    0.001    0.000 _compiler.py:439(_get_literal_prefix)
      228    0.000    0.000    0.000    0.000 socket.py:94(<lambda>)
      227    0.000    0.000    0.000    0.000 socket.py:89(<lambda>)
      226    0.000    0.000    0.000    0.000 socket.py:84(<lambda>)
      225    0.000    0.000    0.000    0.000 socket.py:79(<lambda>)
      224    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1604(<genexpr>)
  222/153    0.000    0.000    0.000    0.000 typing.py:1773(__hash__)
      220    0.000    0.000    0.000    0.000 {method 'decode' of 'bytes' objects}
      207    0.000    0.000    0.000    0.000 _parser.py:76(__init__)
      207    0.001    0.000    0.076    0.000 _compiler.py:576(_code)
      207    0.001    0.000    0.194    0.001 _compiler.py:743(compile)
      207    0.000    0.000    0.000    0.000 _parser.py:954(fix_flags)
      207    0.001    0.000    0.014    0.000 _compiler.py:514(_compile_info)
      207    0.001    0.000    0.116    0.001 _parser.py:970(parse)
      207    0.000    0.000    0.000    0.000 _parser.py:230(__init__)
      207    0.000    0.000    0.001    0.000 typing.py:1639(<genexpr>)
      207    0.001    0.000    0.001    0.000 {built-in method _sre.compile}
      206    0.001    0.000    0.002    0.000 enum.py:1607(__and__)
      199    0.000    0.000    0.002    0.000 css_types.py:360(__init__)
