('Total Revenue', '318,273,000', '281,724,000', '245,122,000', '211,915,000', '198,270,000')
         910532 function calls (878176 primitive calls) in 3.060 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       79    0.001    0.000    0.006    0.000 css_parser.py:472(parse_attribute_selector)
     2662    0.005    0.000    0.006    0.000 __init__.py:789(popTag)
        1    0.000    0.000    0.006    0.006 sync.py:1(<module>)
        1    0.000    0.000    0.006    0.006 memory.py:1(<module>)
        1    0.000    0.000    0.006    0.006 css_types.py:1(<module>)
        1    0.004    0.004    0.005    0.005 constant.py:1(<module>)
    11649    0.004    0.000    0.005    0.000 _parser.py:163(__len__)
      496    0.004    0.000    0.005    0.000 css_types.py:41(__init__)
       27    0.001    0.000    0.005    0.000 enum.py:498(__new__)
     1398    0.001    0.000    0.005    0.000 filter.py:629(_match_attribute_value_helper)
        1    0.000    0.000    0.005    0.005 _headers.py:1(<module>)
        1    0.000    0.000    0.005    0.005 __init__.py:71(search_function)
      733    0.001    0.000    0.005    0.000 <frozen importlib._bootstrap_external>:1500(_path_importer_cache)
      134    0.000    0.000    0.005    0.000 _decoders.py:95(decode)
        1    0.000    0.000    0.005    0.005 parse.py:1(<module>)
      311    0.002    0.000    0.005    0.000 <frozen importlib._bootstrap_external>:833(spec_from_file_location)
       87    0.000    0.000    0.005    0.000 typing.py:1634(__getitem__)
      396    0.003    0.000    0.005    0.000 <frozen importlib._bootstrap>:426(_get_module_lock)
      134    0.005    0.000    0.005    0.000 {method 'decompress' of 'zlib.Decompress' objects}
     1795    0.003    0.000    0.005    0.000 typing.py:1368(__setattr__)
      396    0.002    0.000    0.005    0.000 <frozen importlib._bootstrap>:124(setdefault)
        9    0.000    0.000    0.005    0.001 <frozen importlib._bootstrap_external>:1326(exec_module)
  142/137    0.000    0.000    0.005    0.000 css_parser.py:395(freeze)
     2610    0.003    0.000    0.005    0.000 _htmlparser.py:222(handle_data)
       19    0.000    0.000    0.005    0.000 element.py:2957(find)
        1    0.000    0.000    0.005    0.005 charset.py:1(<module>)
    15359    0.005    0.000    0.005    0.000 {method 'end' of 're.Match' objects}
      170    0.001    0.000    0.005    0.000 parser.py:350(parse_comment)
      604    0.002    0.000    0.005    0.000 <frozen importlib._bootstrap_external>:137(_path_split)
    15245    0.005    0.000    0.005    0.000 {method 'lower' of 'str' objects}
        1    0.000    0.000    0.005    0.005 _types.py:1(<module>)
        1    0.000    0.000    0.004    0.004 _status_codes.py:1(<module>)
        2    0.000    0.000    0.004    0.002 _subprocesses.py:1(<module>)
        9    0.004    0.000    0.004    0.000 {built-in method _imp.exec_dynamic}
       88    0.000    0.000    0.004    0.000 <frozen abc>:105(__new__)
        1    0.000    0.000    0.004    0.004 _urlparse.py:1(<module>)
       17    0.000    0.000    0.004    0.000 types.py:334(__getattr__)
      114    0.000    0.000    0.004    0.000 typing.py:1658(copy_with)
     1683    0.004    0.000    0.004    0.000 __init__.py:909(_linkage_fixer)
     7778    0.004    0.000    0.004    0.000 {method 'join' of 'str' objects}
        1    0.000    0.000    0.004    0.004 decoder.py:1(<module>)
     7729    0.004    0.000    0.004    0.000 {method 'count' of 'str' objects}
     6956    0.003    0.000    0.004    0.000 _parser.py:175(append)
     2140    0.004    0.000    0.004    0.000 {method 'findall' of 're.Pattern' objects}
       28    0.000    0.000    0.004    0.000 <frozen importlib._bootstrap_external>:1487(_path_hooks)
      302    0.002    0.000    0.004    0.000 <frozen importlib._bootstrap_external>:697(_classify_pyc)
      170    0.000    0.000    0.004    0.000 _htmlparser.py:269(handle_comment)
      317    0.001    0.000    0.004    0.000 typing.py:260(_collect_type_parameters)
     2734    0.002    0.000    0.004    0.000 filter.py:292(matches_string)
        1    0.000    0.000    0.004    0.004 asgi.py:1(<module>)
     4455    0.002    0.000    0.004    0.000 {built-in method builtins.max}
       35    0.000    0.000    0.004    0.000 typing.py:806(Optional)
      279    0.001    0.000    0.004    0.000 typing.py:1307(__init__)
       82    0.000    0.000    0.004    0.000 _htmlparser.py:127(handle_startendtag)
        1    0.000    0.000    0.004    0.004 pretty.py:1(<module>)
        1    0.000    0.000    0.003    0.003 _models.py:1101(extract_cookies)
    10417    0.003    0.000    0.003    0.000 {method 'rstrip' of 'str' objects}
        1    0.000    0.000    0.003    0.003 bz2.py:1(<module>)
       13    0.001    0.000    0.003    0.000 __init__.py:358(namedtuple)
     2585    0.001    0.000    0.003    0.000 css_parser.py:317(match)
      357    0.000    0.000    0.003    0.000 <frozen importlib._bootstrap>:420(__exit__)
       99    0.001    0.000    0.003    0.000 enum.py:251(__set_name__)
      142    0.000    0.000    0.003    0.000 css_types.py:203(__init__)
      339    0.000    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:190(_path_abspath)
        1    0.000    0.000    0.003    0.003 tls.py:1(<module>)
        1    0.000    0.000    0.003    0.003 idna.py:1(<module>)
        1    0.000    0.000    0.003    0.003 _abc.py:1(<module>)
        1    0.000    0.000    0.003    0.003 __init__.py:135(BeautifulSoup)
        1    0.000    0.000    0.003    0.003 selectors.py:1(<module>)
      396    0.002    0.000    0.003    0.000 <frozen importlib._bootstrap>:372(release)
        1    0.000    0.000    0.003    0.003 encoders.py:1(<module>)
        1    0.000    0.000    0.003    0.003 _local.py:1(<module>)
        1    0.000    0.000    0.003    0.003 _decoders.py:1(<module>)
      345    0.000    0.000    0.003    0.000 typing.py:789(<genexpr>)
  283/282    0.001    0.000    0.003    0.000 _readers.py:156(__call__)
     2261    0.002    0.000    0.003    0.000 typing.py:1294(_is_dunder)
        1    0.000    0.000    0.003    0.003 traceback.py:1(<module>)
     1538    0.001    0.000    0.003    0.000 {built-in method builtins.setattr}
      565    0.000    0.000    0.003    0.000 typing.py:164(_type_convert)
     1083    0.001    0.000    0.003    0.000 _parser.py:311(_class_escape)
      339    0.001    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:177(_path_isabs)
    13673    0.003    0.000    0.003    0.000 {built-in method builtins.min}
      155    0.001    0.000    0.003    0.000 enum.py:354(__setitem__)
      139    0.001    0.000    0.002    0.000 _connection.py:272(_process_event)
       34    0.000    0.000    0.002    0.000 _readers.py:94(maybe_read_from_SEND_RESPONSE_server)
     2662    0.002    0.000    0.002    0.000 element.py:2007(is_empty_element)
       40    0.000    0.000    0.002    0.000 typing.py:1207(_generic_class_getitem)
     2542    0.001    0.000    0.002    0.000 {built-in method builtins.hasattr}
     2781    0.001    0.000    0.002    0.000 __init__.py:1068(handle_data)
        1    0.000    0.000    0.002    0.002 stapled.py:1(<module>)
        1    0.000    0.000    0.002    0.002 ssl.py:430(__new__)
     3636    0.002    0.000    0.002    0.000 _parser.py:292(tell)
     5911    0.002    0.000    0.002    0.000 element.py:3090(descendants)
      720    0.001    0.000    0.002    0.000 _compiler.py:214(_compile_charset)
      906    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:89(_unpack_uint32)
        1    0.000    0.000    0.002    0.002 _common.py:1(<module>)
      352    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap>:982(find_spec)
        2    0.000    0.000    0.002    0.001 http2.py:1(<module>)
        1    0.000    0.000    0.002    0.002 calendar.py:1(<module>)
      205    0.001    0.000    0.002    0.000 enum.py:1607(__and__)
       28    0.000    0.000    0.002    0.000 <frozen zipimport>:68(__init__)
        1    0.000    0.000    0.002    0.002 subprocess.py:1(<module>)
        1    0.000    0.000    0.002    0.002 ipaddress.py:1(<module>)
       51    0.000    0.000    0.002    0.000 typing.py:1023(__init__)
        1    0.000    0.000    0.002    0.002 _models.py:641(text)
        3    0.000    0.000    0.002    0.001 typing.py:2998(__new__)
        1    0.000    0.000    0.002    0.002 cookiejar.py:1681(extract_cookies)
      508    0.001    0.000    0.002    0.000 contextlib.py:303(helper)
       13    0.002    0.000    0.002    0.000 {built-in method builtins.eval}
      302    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:730(_validate_timestamp_pyc)
        1    0.000    0.000    0.002    0.002 fnmatch.py:1(<module>)
        3    0.000    0.000    0.002    0.001 _exceptions.py:1(<module>)
       56    0.000    0.000    0.002    0.000 parser.py:171(set_cdata_mode)
       27    0.000    0.000    0.002    0.000 typing.py:1748(__getitem__)
       51    0.002    0.000    0.002    0.000 {built-in method builtins.compile}
       52    0.000    0.000    0.002    0.000 _util.py:84(validate)
     5306    0.002    0.000    0.002    0.000 {method 'start' of 're.Match' objects}
        2    0.000    0.000    0.002    0.001 socks_proxy.py:1(<module>)
        1    0.000    0.000    0.002    0.002 lzma.py:1(<module>)
       26    0.000    0.000    0.002    0.000 dataclasses.py:1277(dataclass)
        1    0.000    0.000    0.002    0.002 _status_codes.py:8(codes)
      396    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap>:74(__new__)
      728    0.001    0.000    0.002    0.000 _compiler.py:401(_simple)
      199    0.000    0.000    0.002    0.000 css_types.py:360(__init__)
       29    0.000    0.000    0.002    0.000 _readers.py:64(_decode_header_lines)
        3    0.000    0.000    0.002    0.001 typing.py:2979(_make_nmtuple)
        1    0.000    0.000    0.002    0.002 _models.py:1249(__init__)
      149    0.001    0.000    0.002    0.000 _compiler.py:389(_mk_bitmap)
        1    0.000    0.000    0.002    0.002 <frozen importlib._bootstrap>:1171(exec_module)
      148    0.001    0.000    0.002    0.000 enum.py:1596(__or__)
        1    0.000    0.000    0.002    0.002 lowlevel.py:1(<module>)
      786    0.001    0.000    0.002    0.000 _parser.py:448(_uniq)
        1    0.000    0.000    0.002    0.002 base64.py:1(<module>)
       28    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:1716(path_hook_for_FileFinder)
     7767    0.002    0.000    0.002    0.000 {built-in method builtins.ord}
      352    0.002    0.000    0.002    0.000 {built-in method _imp.is_builtin}
     1812    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:139(<genexpr>)
       52    0.002    0.000    0.002    0.000 {method 'fullmatch' of 're.Pattern' objects}
        1    0.000    0.000    0.001    0.001 scanner.py:1(<module>)
     9172    0.001    0.000    0.001    0.000 typing.py:2371(cast)
     1053    0.001    0.000    0.001    0.000 _parser.py:171(__setitem__)
       39    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:463(_lock_unlock_module)
      466    0.001    0.000    0.001    0.000 typing.py:1358(__getattr__)
        1    0.000    0.000    0.001    0.001 request.py:289(__init__)
      488    0.001    0.000    0.001    0.000 enum.py:829(__setattr__)
      507    0.001    0.000    0.001    0.000 contextlib.py:145(__exit__)
     2418    0.001    0.000    0.001    0.000 {method 'rpartition' of 'str' objects}
     5727    0.001    0.000    0.001    0.000 _parser.py:112(__init__)
        1    0.000    0.000    0.001    0.001 error.py:1(<module>)
     3366    0.001    0.000    0.001    0.000 {method 'pop' of 'list' objects}
        1    0.000    0.000    0.001    0.001 <frozen posixpath>:1(<module>)
        1    0.000    0.000    0.001    0.001 __meta__.py:1(<module>)
  142/137    0.000    0.000    0.001    0.000 css_parser.py:385(_freeze_relations)
