('Total Revenue', '318,273,000', '281,724,000', '245,122,000', '211,915,000', '198,270,000')
         1139846 function calls (1105635 primitive calls) in 3.588 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
 5527/392    0.009    0.000    0.011    0.000 _parser.py:177(getwidth)
      273    0.011    0.000    0.011    0.000 {method 'decompress' of 'zlib.Decompress' objects}
        1    0.000    0.000    0.011    0.011 _typing.py:1(<module>)
        1    0.001    0.001    0.011    0.011 packages.py:1(<module>)
        2    0.000    0.000    0.011    0.005 abc.py:1(<module>)
    30301    0.010    0.000    0.010    0.000 {method 'get' of 'dict' objects}
        2    0.000    0.000    0.010    0.005 request.py:1(<module>)
        1    0.000    0.000    0.010    0.010 header.py:1(<module>)
        1    0.000    0.000    0.010    0.010 _htmlparser.py:1(<module>)
      348    0.003    0.000    0.010    0.000 <frozen importlib._bootstrap>:304(acquire)
     4601    0.008    0.000    0.009    0.000 __init__.py:789(popTag)
      526    0.000    0.000    0.009    0.000 <frozen importlib._bootstrap>:632(cached)
      184    0.000    0.000    0.009    0.000 _parser.py:97(closegroup)
      268    0.001    0.000    0.009    0.000 <frozen importlib._bootstrap_external>:642(_get_cached)
    34385    0.009    0.000    0.009    0.000 {method 'startswith' of 'str' objects}
    26605    0.008    0.000    0.008    0.000 _parser.py:239(__next)
      258    0.008    0.000    0.008    0.000 {method '__exit__' of '_io._IOBase' objects}
        1    0.000    0.000    0.008    0.008 shutil.py:1(<module>)
    25446    0.008    0.000    0.008    0.000 {method 'end' of 're.Match' objects}
      800    0.002    0.000    0.007    0.000 filter.py:618(_attribute_match)
    25493    0.007    0.000    0.007    0.000 {method 'lower' of 'str' objects}
     4624    0.004    0.000    0.007    0.000 _htmlparser.py:222(handle_data)
     2805    0.007    0.000    0.007    0.000 __init__.py:909(_linkage_fixer)
    13624    0.007    0.000    0.007    0.000 {method 'count' of 'str' objects}
        1    0.000    0.000    0.007    0.007 core.py:21(where)
    13539    0.004    0.000    0.007    0.000 _parser.py:255(match)
        1    0.000    0.000    0.007    0.007 _common.py:33(wrapper)
        1    0.000    0.000    0.007    0.007 _common.py:51(files)
        1    0.000    0.000    0.006    0.006 _common.py:107(from_package)
      130    0.003    0.000    0.006    0.000 _compiler.py:470(_get_charset_prefix)
      341    0.002    0.000    0.006    0.000 css_parser.py:1108(selector_iter)
        1    0.000    0.000    0.006    0.006 typing_extensions.py:1(<module>)
     3582    0.006    0.000    0.006    0.000 {method 'findall' of 're.Pattern' objects}
      258    0.000    0.000    0.006    0.000 <frozen importlib._bootstrap_external>:1233(path_stats)
3188/3182    0.001    0.000    0.006    0.000 {built-in method builtins.getattr}
        1    0.000    0.000    0.006    0.006 ssl_.py:180(create_urllib3_context)
    24170    0.006    0.000    0.006    0.000 {method 'endswith' of 'str' objects}
        1    0.005    0.005    0.006    0.006 constant.py:1(<module>)
        2    0.000    0.000    0.006    0.003 readers.py:1(<module>)
        1    0.000    0.000    0.006    0.006 socket.py:1(<module>)
       79    0.001    0.000    0.006    0.000 css_parser.py:472(parse_attribute_selector)
       16    0.002    0.000    0.006    0.000 enum.py:1753(convert_class)
    12886    0.004    0.000    0.006    0.000 _parser.py:163(__len__)
        1    0.000    0.000    0.006    0.006 _common.py:1(<module>)
  259/256    0.001    0.000    0.005    0.000 <frozen importlib._bootstrap_external>:674(_check_name_wrapper)
      348    0.001    0.000    0.005    0.000 <frozen importlib._bootstrap>:162(__enter__)
        2    0.000    0.000    0.005    0.003 core.py:1(<module>)
        1    0.000    0.000    0.005    0.005 filepost.py:1(<module>)
      496    0.004    0.000    0.005    0.000 css_types.py:41(__init__)
    82/58    0.000    0.000    0.005    0.000 typing.py:574(__getitem__)
        1    0.000    0.000    0.005    0.005 parse.py:1(<module>)
        1    0.000    0.000    0.005    0.005 css_types.py:1(<module>)
        1    0.000    0.000    0.005    0.005 _adapters.py:28(get_resource_reader)
        1    0.000    0.000    0.005    0.005 _adapters.py:149(_native)
        1    0.000    0.000    0.005    0.005 _adapters.py:144(_reader)
       21    0.000    0.000    0.005    0.000 <frozen importlib._bootstrap_external>:1675(_fill_cache)
        1    0.000    0.000    0.005    0.005 <frozen importlib._bootstrap_external>:1223(get_resource_reader)
      170    0.001    0.000    0.005    0.000 parser.py:350(parse_comment)
  142/137    0.000    0.000    0.005    0.000 css_parser.py:395(freeze)
      268    0.001    0.000    0.005    0.000 <frozen importlib._bootstrap_external>:1619(_get_spec)
     1445    0.001    0.000    0.005    0.000 filter.py:629(_match_attribute_value_helper)
       58    0.000    0.000    0.005    0.000 typing.py:753(Union)
       10    0.000    0.000    0.004    0.000 types.py:334(__getattr__)
       10    0.001    0.000    0.004    0.000 enum.py:898(_convert_)
      348    0.002    0.000    0.004    0.000 <frozen importlib._bootstrap>:124(setdefault)
      294    0.001    0.000    0.004    0.000 typing.py:173(_type_check)
        1    0.000    0.000    0.004    0.004 _abc.py:1(<module>)
     4601    0.003    0.000    0.004    0.000 element.py:2007(is_empty_element)
      128    0.001    0.000    0.004    0.000 typing.py:1423(__init__)
     7547    0.003    0.000    0.004    0.000 _parser.py:175(append)
       21    0.004    0.000    0.004    0.000 {built-in method nt.listdir}
    12282    0.004    0.000    0.004    0.000 {method 'rstrip' of 'str' objects}
        6    0.000    0.000    0.004    0.001 typing.py:2998(__new__)
9126/9058    0.004    0.000    0.004    0.000 {method 'join' of 'str' objects}
        7    0.000    0.000    0.004    0.001 typing.py:2979(_make_nmtuple)
      170    0.000    0.000    0.004    0.000 _htmlparser.py:269(handle_comment)
        1    0.000    0.000    0.004    0.004 certs.py:1(<module>)
     4795    0.002    0.000    0.004    0.000 __init__.py:1068(handle_data)
